# Index 1995:Q1=100

DATE,ATNHPIUS37964Q
1976-10-01,35.69
1977-01-01,36.07
1977-04-01,37.51
1977-07-01,37.25
1977-10-01,39.36
1978-01-01,39.88
1978-04-01,39.19
1978-07-01,38.36
1978-10-01,39.31
1979-01-01,41.16
1979-04-01,42.74
1979-07-01,42.86
1979-10-01,43.22
1980-01-01,44.62
1980-04-01,44.45
1980-07-01,46.45
1980-10-01,47.75
1981-01-01,48.22
1981-04-01,49.21
1981-07-01,49.96
1981-10-01,47.31
1982-01-01,49.06
1982-04-01,49.24
1982-07-01,49.24
1982-10-01,51.07
1983-01-01,52.44
1983-04-01,53.40
1983-07-01,54.62
1983-10-01,56.18
1984-01-01,54.58
1984-04-01,57.46
1984-07-01,58.61
1984-10-01,59.30
1985-01-01,59.92
1985-04-01,61.97
1985-07-01,63.54
1985-10-01,64.43
1986-01-01,66.13
1986-04-01,68.07
1986-07-01,71.11
1986-10-01,73.67
1987-01-01,76.1
1987-04-01,79.30
1987-07-01,83.47
1987-10-01,86.08
1988-01-01,89.02
1988-04-01,92.78
1988-07-01,94.89
1988-10-01,96.55
1989-01-01,97.06
1989-04-01,97.64
1989-07-01,100.61
1989-10-01,101.19
1990-01-01,102.11
1990-04-01,102.01
1990-07-01,102.25
1990-10-01,102.10
1991-01-01,102.27
1991-04-01,102.50
1991-07-01,102.92
1991-10-01,104.26
1992-01-01,104.65
1992-04-01,104.05
1992-07-01,104.59
1992-10-01,105.54
1993-01-01,105.03
1993-04-01,105.60
1993-07-01,105.58
1993-10-01,106.30
1994-01-01,105.88
1994-04-01,103.50
1994-07-01,102.24
1994-10-01,101.27
1995-01-01,100.00
1995-04-01,101.95
1995-07-01,103.75
1995-10-01,104.27
1996-01-01,105.32
1996-04-01,103.41
1996-07-01,102.37
1996-10-01,103.38
1997-01-01,103.73
1997-04-01,103.40
1997-07-01,104.17
1997-10-01,105.31
1998-01-01,107.29
1998-04-01,107.61
1998-07-01,107.09
1998-10-01,109.15
1999-01-01,109.83
1999-04-01,110.13
1999-07-01,110.79
1999-10-01,111.39
2000-01-01,111.69
2000-04-01,114.62
2000-07-01,115.74
2000-10-01,117.79
2001-01-01,121.35
2001-04-01,124.18
2001-07-01,127.31
2001-10-01,129.90
2002-01-01,132.86
2002-04-01,136.31
2002-07-01,140.73
2002-10-01,144.20
2003-01-01,146.61
2003-04-01,149.56
2003-07-01,153.90
2003-10-01,160.28
2004-01-01,164.54
2004-04-01,171.43
2004-07-01,180.97
2004-10-01,187.03
2005-01-01,192.55
2005-04-01,202.17
2005-07-01,210.29
2005-10-01,216.04
2006-01-01,219.70
2006-04-01,223.47
2006-07-01,226.24
2006-10-01,229.29
2007-01-01,231.32
2007-04-01,232.30
2007-07-01,232.68
2007-10-01,233.14
2008-01-01,234.06
2008-04-01,231.68
2008-07-01,228.49
2008-10-01,227.96
2009-01-01,229.53
2009-04-01,225.69
2009-07-01,221.39
2009-10-01,220.94
2010-01-01,219.83
2010-04-01,219.24
2010-07-01,221.13
2010-10-01,220.31
2011-01-01,215.62
2011-04-01,211.02
2011-07-01,212.46
2011-10-01,212.67
2012-01-01,211.88
2012-04-01,209.77
2012-07-01,210.44
2012-10-01,211.65
2013-01-01,211.31
2013-04-01,212.49
2013-07-01,213.25
2013-10-01,213.03
2014-01-01,214.21
2014-04-01,216.00
2014-07-01,217.41
2014-10-01,218.87
2015-01-01,221.48
2015-04-01,223.59
2015-07-01,224.03
2015-10-01,223.66
2016-01-01,225.64
2016-04-01,231.63
2016-07-01,235.39
2016-10-01,235.62
2017-01-01,237.78
2017-04-01,244.95
2017-07-01,248.52
2017-10-01,248.35
2018-01-01,253.11
2018-04-01,258.55
2018-07-01,261.4
2018-10-01,263.09
2019-01-01,265.50
2019-04-01,271.19
2019-07-01,275.60
2019-10-01,278.68
2020-01-01,281.32
2020-04-01,284.42
2020-07-01,291.12
2020-10-01,296.18
2021-01-01,302.17
2021-04-01,316.16
2021-07-01,329.93
2021-10-01,334.36
2022-01-01,342.91
2022-04-01,355.51
2022-07-01,359.09
2022-10-01,363.09
2023-01-01,358.11
2023-04-01,364.90
2023-07-01,374.80
2023-10-01,378.15

#Source: U.S. Federal Housing Finance Agency
