Bathrooms,Bedrooms,Garage,House_Type,Neighborhood,Pool,Property_ID,Renovated_Year,Sale_Price,Square_Feet,Year_Built
2.5,5,2,Loft,Bella Vista,0,1,2020,179967,2047,1928
3.0,4,2,Townhouse,Center City,1,2,2020,657247,5976,1909
3.5,2,2,Loft,Fishtown,1,3,2015,1454704,1079,1967
1.5,1,0,Row House,Fishtown,0,4,2020,1499571,1241,1912
5.0,3,2,Townhouse,Society Hill,1,5,2010,1000298,4383,1950
4.0,5,1,Townhouse,Northern Liberties,0,6,2018,1259006,1990,1932
3.5,6,0,Row House,Fishtown,0,7,2015,872597,3397,1957
2.5,6,2,Row House,Bella Vista,1,8,2015,930459,5376,1968
1.5,3,0,Apartment,Fairmount,0,9,,510964,4694,1933
4.5,5,2,Mansion,Rittenhouse Square,1,10,2018,1462415,6016,1901
2.5,6,0,Townhouse,Society Hill,0,11,2020,433394,3529,1911
5.0,4,2,Single Family,Old City,1,12,2010,1097797,6030,1923
3.0,2,1,Condo,Chestnut Hill,0,13,2010,1464881,1180,1943
5.0,2,0,Single Family,Chestnut Hill,0,14,2010,702205,4429,1963
2.0,6,1,Single Family,University City,1,15,2018,1443141,1055,1960
3.0,4,2,Single Family,Old City,0,16,2020,189416,2495,2007
5.0,3,0,Row House,Society Hill,0,17,2018,228628,5694,2008
2.0,5,0,Apartment,Society Hill,1,18,2020,194960,1017,1967
4.5,6,1,Loft,Chestnut Hill,1,19,2015,501579,6467,1981
4.5,5,2,Loft,University City,0,20,,540652,5682,1989
3.5,6,2,Townhouse,Bella Vista,1,21,,512447,5951,1923
4.5,4,2,Row House,Northern Liberties,0,22,2020,268588,6628,1950
5.0,6,1,Mansion,Chestnut Hill,1,23,2015,1468442,806,1924
1.5,5,2,Apartment,Northern Liberties,1,24,2018,1366231,3817,1990
1.0,6,0,Apartment,Rittenhouse Square,0,25,,1468922,2457,2018
2.0,5,1,Apartment,Fishtown,0,26,2020,427572,6651,1911
2.0,2,2,Apartment,Center City,1,27,2020,975489,5865,1934
1.5,6,2,Mansion,Fishtown,0,28,2018,1148370,4611,1939
4.0,4,2,Mansion,Bella Vista,0,29,2010,376426,976,1985
3.5,1,1,Loft,Center City,1,30,2020,1008959,5134,1987
2.5,2,2,Condo,Fairmount,1,31,2015,165376,5494,1907
2.5,5,0,Condo,Fishtown,0,32,2015,965015,1156,1910
4.0,2,1,Mansion,Chestnut Hill,0,33,,361796,6295,1969
2.5,5,0,Row House,University City,0,34,2020,344767,6435,2017
1.0,5,2,Townhouse,Fishtown,0,35,,1083392,5363,2020
3.5,4,1,Townhouse,Fishtown,0,36,2018,941124,3035,1957
3.0,6,1,Loft,Fishtown,0,37,2010,422976,4784,1973
3.5,2,2,Row House,Society Hill,0,38,2018,1412902,3141,1957
4.0,5,0,Townhouse,Center City,0,39,2015,1139216,6605,1943
2.0,3,1,Row House,University City,1,40,2010,218596,5791,1954
1.5,4,1,Townhouse,Northern Liberties,1,41,2020,1322880,5432,1970
4.0,4,1,Loft,Northern Liberties,0,42,2020,267952,2700,1911
4.5,4,2,Single Family,Center City,0,43,2018,740941,6495,2017
4.0,4,2,Mansion,Rittenhouse Square,0,44,2018,1453055,6208,2005
